Population within 1000m radius,id,name,functional_status,type,category,timestamp,lga_name,state_name,geometry_y,Status,geometry
493,139,Kumaga Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kala Balge,Borno,POINT (1112360.3649143192 1347786.5908046118),Valid,POINT (14.619782100000002 12.1347911)
8860,140,Nysc Camp Borno Camp Clinic,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Maiduguri,Borno,POINT (950934.168366906 1312034.766450528),Valid,POINT (13.1366 11.83846)
1237,141,Boboshe Maternal and Child Health Clinic,Not Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Dikwa,Borno,POINT (1024375.0242549329 1309572.3769361218),Valid,POINT (13.808372 11.805649)
9904,142,Tashan Goigoi Clinic,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Gwoza,Borno,POINT (1012798.3422322981 1227824.9462048411),Valid,POINT (13.6903 11.070619999999998)
3717,143,Mashamari Clinic,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Jere,Borno,POINT (966782.3476292761 1317054.457467717),Valid,POINT (13.28241 11.88157)
20123,144,Dalaram Clinic,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Jere,Borno,POINT (959424.4018718466 1314716.5726696667),Valid,POINT (13.21471 11.861499999999998)
101138,145,Shehus Palace Clinic,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Maiduguri,Borno,POINT (953570.9669467732 1313176.061446056),Valid,POINT (13.160899999999998 11.848400000000002)
44169,146,Naf Emergency Hospital,Functional,Primary,Military and Paramilitary Clinic,2020-07-04T13:49:18,Bama,Borno,POINT (1011770.4293494744 1278708.9561785157),Valid,POINT (13.688381999999999 11.529405)
63312,147,Zajeri Clinic,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Maiduguri,Borno,POINT (949854.0765666466 1315792.6436388514),Valid,POINT (13.127219999999998 11.872499999999997)
57621,148,Nairaa Clinic,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Maiduguri,Borno,POINT (955015.9431821832 1310822.5897682903),Valid,POINT (13.173808541409183 11.826978212948086)
2311,149,Mallam Kaunari Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Abadam,Borno,POINT (969461.666168226 1518602.0353520324),Valid,POINT (13.337930232873768 13.698547291232135)
4401,150,Tampul B 2 Health Post,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (962379.4423635902 1172401.2314773835),Valid,POINT (13.223045999639679 10.57754500014607)
1619,151,Hirdaya Clinic Huntaku,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Chibok,Borno,POINT (914202.5550906688 1203673.3463567724),Valid,POINT (12.787249999536757 10.865339999689239)
1011,152,Gwandawa Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (942561.850235206 1180271.6444375643),Valid,POINT (13.043299999510738 10.650920000000953)
1431,153,Ngurihiarvu Health Post,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (966409.2686027728 1192822.4457782714),Valid,POINT (13.262350000344895 10.761229999951409)
5174,154,Kautikari Primary Health Care,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Chibok,Borno,POINT (935829.366025183 1198778.5296384243),Valid,POINT (12.984085000276933 10.818679999985989)
16476,155,Rumirgo Model Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Askira Uba,Borno,POINT (927958.4684657797 1180887.3686249098),Valid,POINT (12.910171856167612 10.658168770504636)
3876,156,Rimigo Federal Medical Center,Functional,Secondary,Federal Medical Center,2020-07-04T13:49:18,Askira Uba,Borno,POINT (952194.8715992232 1190014.4239328275),Valid,POINT (13.13234263291745 10.73765739099587)
37735,157,Gumsuri Clinic,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Damboa,Borno,POINT (910617.2876794962 1236283.8250049113),Valid,POINT (12.758253443149718 11.160033530135214)
20560,158,Kundesana Clinic,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Gwoza,Borno,POINT (1012415.8651782493 1229761.1010922035),Valid,POINT (13.687088202402135 11.088125877783002)
4506,159,Gava Clinic,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Gwoza,Borno,POINT (1012828.9500368425 1231700.3311819115),Valid,POINT (13.69113741221831 11.105546323235972)
25747,160,Gava Missionary Hospital,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Gwoza,Borno,POINT (1012865.2123497515 1228787.4523256219),Valid,POINT (13.691048650652442 11.079286030405527)
8193,161,Valangide Hospital,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Gwoza,Borno,POINT (1012619.7334883551 1227736.3293456843),Valid,POINT (13.688657428262532 11.069846610071059)
23363,162,Farm Center Idp Camp Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Gwoza,Borno,POINT (1021905.0605928509 1245512.6503466575),Valid,POINT (13.77600246010285 11.22872297440037)
32192,163,Benisheikh Maternal and Child Health,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Jere,Borno,POINT (944778.4455186289 1311576.4359348898),Valid,POINT (13.080170430811826 11.835143928631265)
105842,164,Bogum Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Maiduguri,Borno,POINT (953031.8876911431 1312800.298418527),Valid,POINT (13.155912446969362 11.845083370730228)
60581,165,Lawan House Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (954973.9374752458 1311919.997786339),Valid,POINT (13.173574283838073 11.836881802839962)
23330,166,Kerya Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (953280.3371864337 1310539.5279111767),Valid,POINT (13.157878766665203 11.824658824119487)
76346,167,Unicef Clinic,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Maiduguri,Borno,POINT (952433.0616636681 1313285.115047235),Valid,POINT (13.150495305050327 11.849536740864531)
21540,168,Kuya Unicef Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (948253.9213906771 1311377.2343825211),Valid,POINT (13.111968620210087 11.83288666591407)
15927,169,Water Board Unicef Idp Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (951327.3987756718 1309198.9776434265),Valid,POINT (13.139815510606129 11.812829231281585)
16015,170,Fhi360 Clinic,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Maiduguri,Borno,POINT (948897.1609526965 1310647.5767394442),Valid,POINT (13.11776 11.826219553336813)
92477,171,Fhi360 Clinic,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Maiduguri,Borno,POINT (953711.3477492899 1313240.0621755675),Valid,POINT (13.162194186299017 11.848958337253174)
35852,172,Uba Primary Health Center,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Askira Uba,Borno,POINT (961986.4173959775 1158410.484218996),Valid,POINT (13.217746670000054 10.451401670000052)
218,173,Gunda Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Bayo,Borno,POINT (795609.2219372033 1141931.9340982304),Valid,POINT (11.699009144303176 10.319013152717954)
2310,174,Busuna Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Abadam,Borno,POINT (969446.0869314335 1518504.1155898517),Valid,POINT (13.337770349310654 13.697666954090916)
413,175,Umarye Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Bama,Borno,POINT (1029929.3273315745 1298645.7623563164),Valid,POINT (13.857445655028757 11.706324956688256)
39,177,Zakzare Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Bama,Borno,POINT (1081250.2708520503 1266959.4483148921),Invalid,POINT (14.321106042902308 11.41265305413861)
0,178,Jere Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Bama,Borno,POINT (1065620.6217607253 1247803.3699657891),Invalid,POINT (14.175324287183912 11.242679753147367)
2821,179,Walasa Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Bama,Borno,POINT (1061620.3705039881 1249899.2581996545),Valid,POINT (14.139161221408008 11.262192031058774)
2,180,Briyel Maternal and Child Health,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Bama,Borno,POINT (1040519.4525323508 1263316.1835973423),Invalid,POINT (13.948668642442547 11.386353806797782)
367,181,Njibiya Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Guzamala,Borno,POINT (971036.6967811004 1402882.715610108),Valid,POINT (13.334018438038107 12.654912299325444)
515,182,Koghum Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Gwoza,Borno,POINT (998826.8551800969 1256658.9416293227),Valid,POINT (13.566879791228208 11.332516261986202)
657,183,Gatha Ghure Dutse Clinic,Unknown,Primary,Private Non Profit,2020-07-04T13:49:18,Gwoza,Borno,POINT (1024102.739945343 1222979.6806126158),Valid,POINT (13.792736249760843 11.025330947139597)
1944,184,Jaje Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Gwoza,Borno,POINT (1019968.0869895834 1225562.7072674376),Valid,POINT (13.755392505261451 11.049206071032634)
1217,185,Rescue Clinic,Unknown,Primary,Private Non Profit,2020-07-04T13:49:18,Gwoza,Borno,POINT (1021994.9019356924 1232854.1274587547),Valid,POINT (13.7749522907499 11.114627309721827)
135,186,Ndabah Juwe Hospital,Unknown,Primary,Private Non Profit,2020-07-04T13:49:18,Gwoza,Borno,POINT (1001389.432752047 1216720.8083163397),Valid,POINT (13.58463 10.972119999999999)
15418,187,Amdaga Makaranta Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Gwoza,Borno,POINT (1014159.1101222706 1228179.5395029825),Valid,POINT (13.702768238832594 11.073622575156117)
302,188,Molai Health Post,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Gwoza,Borno,POINT (1009670.1208669033 1240792.597530849),Valid,POINT (13.663617296953497 11.187950843770848)
19393,189,Elmiskin Idp Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Jere,Borno,POINT (952052.2602142032 1306055.6869743592),Valid,POINT (13.146025597689642 11.78438073633634)
1929,190,Rann Idp Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Kala Balge,Borno,POINT (1114673.0336053516 1323585.6344240424),Valid,POINT (14.636382573590945 11.916567075438774)
9374,191,Teachers Village Idp Camp Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Kukawa,Borno,POINT (1007541.259821805 1435910.2056399153),Valid,POINT (13.674632821151102 12.946901767949463)
501,192,Ngarannam Clinic,Unknown,Primary,Private Non Profit,2020-07-04T13:49:18,Kukawa,Borno,POINT (1026904.4013417922 1426823.3481294021),Valid,POINT (13.850949999999997 12.861769999999998)
3418,193,Gomboru Health Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Kwaya Kusar,Borno,POINT (830822.5196502404 1154420.662511076),Valid,POINT (12.021307787691683 10.428962098580824)
12075,194,Sabin Layi Clinic,Unknown,Primary,Private Non Profit,2020-07-04T13:49:18,Mafa,Borno,POINT (1001440.2256410669 1321872.1748187174),Valid,POINT (13.600412372834413 11.920001644431068)
734,195,Elkanem Clinic,Unknown,Primary,Private Non Profit,2020-07-04T13:49:18,Magumeri,Borno,POINT (884887.631858117 1372614.6125778416),Valid,POINT (12.53881 12.39345)
23828,196,Maiduguri Nursing Home,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (950902.6473184687 1314112.3227769986),Valid,POINT (13.136593858195354 11.857203321701357)
21351,197,Unicef Health Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (950675.1540329058 1308679.9471696592),Valid,POINT (13.13377336307504 11.808234773253801)
1277,198,Unicef Clinic,Unknown,Primary,Private Non Profit,2020-07-04T13:49:18,Marte,Borno,POINT (1038979.977819386 1405665.0412699464),Valid,POINT (13.95811 12.66908)
5468,199,Jillam Clinic,Unknown,Primary,Private Non Profit,2020-07-04T13:49:18,Marte,Borno,POINT (1025220.723345312 1371391.9747991937),Valid,POINT (13.826102778729606 12.362582737909253)
3589,200,Wurro Bokki Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Mobbar,Borno,POINT (880772.8541198692 1427036.1065198425),Valid,POINT (12.50772982154975 12.88514608830799)
18898,201,Ngabu Health Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Mobbar,Borno,POINT (880306.5194069343 1450725.2371837818),Valid,POINT (12.506441895638252 13.099014701135351)
18700,202,Alheri Clinic,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Askira Uba,Borno,POINT (961129.8980782864 1158889.9946098323),Valid,POINT (13.21 10.45583)
19713,203,Hausari Msf Clinic,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Damboa,Borno,POINT (910108.6257270492 1234646.57849912),Valid,POINT (12.7534149 11.145316699999999)
441,204,Gama Dadi Health Post,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Bama,Borno,POINT (1071666.373389563 1284827.966940796),Valid,POINT (14.236605872715506 11.575150026540983)
36329,205,Gubili Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Bama,Borno,POINT (1011517.0100766064 1278808.3122777287),Valid,POINT (13.68608069579741 11.530337955770127)
0,206,Ngabu Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Marte,Borno,POINT (1059257.100571563 1416533.4393847836),Invalid,POINT (14.146097645089736 12.763423204356046)
52714,207,Dominion Maternity,Functional,Primary,Maternity Home,2020-07-04T13:49:18,Jere,Borno,POINT (944687.1175947804 1310649.30291468),Valid,POINT (13.079209978011582 11.826792830444596)
38059,208,Kareto Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Maiduguri,Borno,POINT (953811.4405886134 1314682.060428223),Valid,POINT (13.163308176264776 11.861950903688243)
606,209,Bama Hausari Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Bama,Borno,POINT (1010021.7894990453 1275961.627366416),Valid,POINT (13.671989999676043 11.504900000240239)
20,210,777 Estate Clinic,Unknown,Unknown,Others,2020-06-24T11:38:22,Kala Balge,Borno,POINT (1095999.4813881926 1279722.0754508453),Invalid,POINT (14.457919999999998 11.525070000000001)
616,211,8 Task Force Division Hospital,Functional,Primary Health Clinic,,2020-06-24T11:38:22,Monguno,Borno,POINT (1003828.4636630995 1408485.9957437844),Valid,POINT (13.635979999999998 12.700337)
41140,212,AAH GSSS IDP Camp Clinic,Functional,Primary Health Clinic,,2020-06-24T11:38:22,Monguno,Borno,POINT (1000840.4321158943 1406078.750876928),Valid,POINT (13.608157000000002 12.679118000000003)
30307,213,ACF NRC IDP Camp Clinic,Functional,Primary Health Center,,2020-06-24T11:38:22,Monguno,Borno,POINT (1002609.4129741658 1404673.341339217),Valid,POINT (13.624166999999998 12.666168)
9896,214,Ajjari IDP Camp Clinic,Functional,Primary Health Clinic,,2020-06-24T11:38:22,Mafa,Borno,POINT (1001582.4580346983 1322283.9370265207),Valid,POINT (13.601777 11.923691999999999)
3330,215,Alagarno Dispensary,Functional,Health Post Dispensary,,2020-06-24T11:38:22,Askira Uba,Borno,POINT (909203.715052224 1186094.5040617392),Valid,POINT (12.739648 10.707255)
1178,216,Ayi Yasku Dispensary,Not Functional,Health Post Dispensary,,2020-06-24T11:38:22,Magumeri,Borno,POINT (889527.2636111602 1358915.418195656),Valid,POINT (12.579729999999998 12.269250000000001)
20168,217,Bakassi IDP Camp Clinic,Functional,Primary Health Center,,2020-06-24T11:38:22,Monguno,Borno,POINT (1000682.2695825591 1404340.2334706148),Valid,POINT (13.606423 12.663473)
4081,218,Bera Dispensary,Functional,Health Post Dispensary,,2020-06-24T11:38:22,Biu,Borno,POINT (832254.2818355213 1180963.5124900655),Valid,POINT (12.036723 10.668559999999998)
18347,219,Boarding Primary School IDP Camp Clinic,Functional,Primary Health Clinic,,2020-06-24T11:38:22,Konduga,Borno,POINT (979631.1900578616 1293278.868780059),Valid,POINT (13.396635000000002 11.665381000000002)
5,220,Cocin Clinic Jebra,Unknown,Primary Health Clinic,Private Non Profit,2020-06-24T11:38:22,Bama,Borno,POINT (1020211.0614916723 1264235.5126930168),Invalid,POINT (13.763332 11.397709)
25875,221,Custom House IDP Clinic,Functional,Primary Health Clinic,Military and Paramilitary Clinic,2020-06-24T11:38:22,Gwoza,Borno,POINT (1022005.2724102559 1245447.6279358442),Valid,POINT (13.77690763 11.228122279999997)
0,222,Dabar Masara Health Clinic,Not Functional,Health Post Dispensary,,2020-06-24T11:38:22,Kukawa,Borno,POINT (1025525.8632632459 1423870.7223090718),Invalid,POINT (13.83778 12.835400000000002)
34723,223,Delta Base damboa Msf Clinic,Functional,Primary,Others,2020-06-24T11:38:22,Damboa,Borno,POINT (910554.9551704885 1236423.371800929),Valid,POINT (12.7577 11.161299999999999)
0,224,Dipchari Dispensary,Not Functional,Primary,Primary Health Center,2020-06-24T11:38:22,Bama,Borno,POINT (1035779.604371775 1263220.662231837),Invalid,POINT (13.90537 11.386220000000002)
3736,225,EYN Dispensary,Not Functional,Health Post Dispensary,,2020-06-24T11:38:22,Askira Uba,Borno,POINT (950600.0629932401 1187275.083001239),Valid,POINT (13.11746 10.713139999999996)
5931,226,EYN Dispensary Kautikari,Not Functional,Health Post Dispensary,,2020-06-24T11:38:22,Chibok,Borno,POINT (936204.0236172302 1199120.713399145),Valid,POINT (12.987545 10.821723)
66474,227,University Of Maiduguri Teaching Hospital Umth,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Jere,Borno,POINT (956387.9705517273 1311626.446604508),Valid,POINT (13.186480999795494 11.834042999877399)
1124,228,Hadakaya Dispensary,Unknown,Unknown,Primary Health Center,2020-06-24T11:38:22,Gwoza,Borno,POINT (1033158.2445527046 1241522.4531305344),Valid,POINT (13.878120000000001 11.1911)
23548,229,IDP Camp Clinic,Functional,Primary Health Center,,2020-06-24T11:38:22,Kala Balge,Borno,POINT (1095000.2696987137 1362347.587854874),Valid,POINT (14.463672 12.269055000000002)
26356,230,IDP Camp Custom House,Functional,Primary,Military and Paramilitary Clinic,2020-06-24T11:38:22,Jere,Borno,POINT (957117.4718415563 1310461.795547192),Valid,POINT (13.192999999999998 11.823439999999998)
755,231,Kelle Dispensary,Functional,Health Post Dispensary,,2020-06-24T11:38:22,Askira Uba,Borno,POINT (960127.3620042647 1185224.415358391),Valid,POINT (13.20410156 10.693481450000002)
1707,232,Makalama Health Post,Functional,Health Post Dispensary,,2020-06-24T11:38:22,Chibok,Borno,POINT (937162.6961008981 1189330.475802528),Valid,POINT (12.995126999999998 10.733281999999999)
18305,233,Muna Alima Clinic,Functional,Primary Health Clinic,,2020-06-24T11:38:22,Jere,Borno,POINT (962753.0040414023 1315304.4057875376),Valid,POINT (13.24527 11.866345)
20645,234,Muna IDP Camp Clinic B,Functional,Primary Health Clinic,,2020-06-24T11:38:22,Jere,Borno,POINT (963322.7273917525 1316171.903411899),Valid,POINT (13.250608000000001 11.87409)
38161,235,Rehabilitation Centre IDP Camp Clinic,Functional,Primary Health Clinic,,2020-06-24T11:38:22,Jere,Borno,POINT (945576.5495042866 1311384.0369615064),Valid,POINT (13.087453 11.833303)
35476,236,UNICEF Kuya IDP Camp Clinic,Functional,Primary Health Clinic,,2020-06-24T11:38:22,Monguno,Borno,POINT (1002074.4888803232 1404588.6376771233),Valid,POINT (13.619243 12.665490000000002)
4076,237,Vital Registration Department Bama,Unknown,Unknown,Others,2020-06-24T11:38:22,Bama,Borno,POINT (1061739.847777625 1249827.8573006378),Valid,POINT (14.140239999999999 11.26153)
44031,238,Zonal Health Office,Functional,Primary,Others,2020-06-24T11:38:22,Maiduguri,Borno,POINT (952491.7717891287 1311797.3747466127),Valid,POINT (13.15083 11.83611)
2784,239,Waindu Health Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Bayo,Borno,POINT (787056.3482336897 1131439.8412038812),Valid,POINT (11.62019478 10.224861169999999)
27896,240,Epid Unit Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (952530.1317698642 1311274.6422386735),Valid,POINT (13.15111 11.83139)
40129,241,Monguno Family Support Programme Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Monguno,Borno,POINT (1001951.7325273986 1404735.130601822),Valid,POINT (13.61814 12.666829999999996)
2213,242,Soye Family Support Programme,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Bama,Borno,POINT (1019362.6382507472 1271722.431681115),Valid,POINT (13.75671 11.465310000000002)
1248,243,Kwgulathu Family Support Programme Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Hawul,Borno,POINT (888370.3366989316 1155171.3011483613),Valid,POINT (12.54630664 10.430342559999998)
75813,244,Gamboru Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (954216.2112687698 1312871.9397555762),Valid,POINT (13.16676666 11.84557)
18118,245,Dalori Quaters Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (950503.5884081316 1306837.4214414866),Valid,POINT (13.13195333 11.791638330000001)
587,246,Mijuwana Health Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Shani,Borno,POINT (834837.3781973198 1117430.778994231),Valid,POINT (12.054730000000001 10.094539999999997)
578,247,Laje Primary Health Care Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Mafa,Borno,POINT (981836.9745961603 1352343.6392265058),Valid,POINT (13.4254580001691 12.197619999910897)
12881,248,Konduga Leprosy Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (981752.3955115178 1292258.6155447576),Valid,POINT (13.41589355 11.65588379)
1576,249,Kopchi Health Center,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Damboa,Borno,POINT (954719.3048298527 1204499.709013276),Valid,POINT (13.157170000000002 10.868009999999998)
228,250,Mafa Primary Health Center,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Magumeri,Borno,POINT (856604.197246609 1355132.3898156101),Valid,POINT (12.27711 12.23888)
12706,251,Abadam Health Clinic,Not Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Abadam,Borno,POINT (961583.8684605965 1509662.0227096253),Valid,POINT (13.26383 13.619200000000001)
60635,252,Gwange Maternal and Child Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (954326.2203967546 1310870.1325428486),Valid,POINT (13.167499999999999 11.8275)
1922,253,Kopa Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (971909.4098236694 1192700.9566246178),Valid,POINT (13.3125 10.759439999999998)
1935,254,Lokoja Eyn Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Hawul,Borno,POINT (829418.2730786251 1137991.8585691045),Valid,POINT (12.007080080000001 10.280700679999999)
41874,255,Bama General Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Bama,Borno,POINT (1011827.8301187174 1278844.9209155068),Valid,POINT (13.688927 11.530621999999997)
11985,256,Garu Maternal and Child Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Chibok,Borno,POINT (921500.1554898015 1203876.219465711),Valid,POINT (12.853895 10.866341669999999)
856,257,Kareram Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Magumeri,Borno,POINT (914527.8183050083 1346695.2414301196),Valid,POINT (12.80756 12.155889999999998)
14284,258,Mafa Town Clinic Maternity and Child Health,Functional,Primary,Maternity Home,2020-07-04T13:49:18,Mafa,Borno,POINT (1001317.5438452782 1321969.6237252639),Valid,POINT (13.5993042 11.920898439999998)
46505,259,Aah Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (952375.3317355595 1312062.8364876825),Valid,POINT (13.1498 11.838520000000003)
12508,260,Kukawa Maternal and Child Health,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kukawa,Borno,POINT (996020.923462346 1433060.4905250922),Valid,POINT (13.56829834 12.923095700000001)
1648,261,Hirpaya Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Chibok,Borno,POINT (914465.4290981299 1203922.4482257245),Valid,POINT (12.789678330000001 10.867558329999998)
1445,262,Garere Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Abadam,Borno,POINT (962455.2321770312 1462907.8262910927),Valid,POINT (13.264409999744599 13.197470000262)
28146,263,Barka Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Askira Uba,Borno,POINT (962672.2893232714 1159429.532093953),Valid,POINT (13.224121089999999 10.46051025)
38969,264,Hirku Clinic and Maternity Home,Functional,Primary,Maternity Home,2020-07-04T13:49:18,Biu,Borno,POINT (848750.7273736116 1176184.0449716742),Valid,POINT (12.18688965 10.623901370000002)
17072,265,Laje Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Jere,Borno,POINT (957558.6939310161 1310246.6751262299),Valid,POINT (13.19701 11.82144)
1908,266,Shehuri Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Ngala,Borno,POINT (1064024.7859813776 1380334.8284370333),Valid,POINT (14.18327 12.436569999999998)
70,267,Kangarwa Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kukawa,Borno,POINT (994434.6673307354 1458043.9058167017),Invalid,POINT (13.55785 13.14855)
809,268,Garin Abayi Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Biu,Borno,POINT (789009.5241041477 1202916.4306189953),Valid,POINT (11.64352 10.870479999999997)
11,269,Dzakwa Health Post,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (955968.257809679 1159287.0420916402),Invalid,POINT (13.163009999999998 10.46003)
468,270,Forfor Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Damboa,Borno,POINT (879470.8965600707 1252187.806899326),Valid,POINT (12.47528 11.30704)
1514,271,Shuwari Health Post,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (974253.2487982183 1197311.5170884063),Valid,POINT (13.33447266 10.800720219999999)
221,272,Wanori Primary Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (969053.1845465854 1302046.1557687975),Valid,POINT (13.301086429999998 11.74591064)
2460,273,Shaffa Health Post,Functional,Primary,Dispensary,2020-07-04T13:49:18,Hawul,Borno,POINT (867307.9396119962 1162528.0123492635),Valid,POINT (12.354929999999998 10.498839999999998)
3655,274,Chull Primary Health Center Temp,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Askira Uba,Borno,POINT (952302.6777146624 1176449.3394154261),Valid,POINT (13.131669999999998 10.615279999999998)
25183,275,Police Clinic,Functional,Secondary,Military and Paramilitary Clinic,2020-07-04T13:49:18,Maiduguri,Borno,POINT (949818.0439814988 1310476.4093820935),Valid,POINT (13.126168851298523 11.82455295437508)
1830,276,Baale Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Damboa,Borno,POINT (944377.4021642525 1241853.9578285671),Valid,POINT (13.067429999905928 11.206250000321575)
473,277,Jara Dali Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Bayo,Borno,POINT (790262.6756096799 1140875.1860461296),Valid,POINT (11.650149999930761 10.309870000273518)
30162,278,Cocin Clinic,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Bama,Borno,POINT (1011796.0997218369 1276660.7243143574),Valid,POINT (13.688309999764726 11.510940000344133)
